# Input,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
bmp7,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,BMP7,655,Homo sapiens,9606,[Cannabinoids results in increased abundance of 11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid] which affects the methylation of BMP7 gene,affects^methylation|increases^abundance,30521419
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of UCP1 protein,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of VEGFA mRNA,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[licarin A affects the susceptibility to [INS protein co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone]] which results in increased expression of BMP7 mRNA,affects^cotreatment|affects^response to substance|increases^expression,29288687
bmp7,"2,3,7,8-tetrachlorodibenzofuran",C014211,51207-31-9,BMP7,655,Rattus norvegicus,10116,"2,3,7,8-tetrachlorodibenzofuran results in decreased expression of BMP7 mRNA",decreases^expression,32109520
bmp7,"2,3-bis(3'-hydroxybenzyl)butyrolactone",C029497,76543-15-2,BMP7,655,Homo sapiens,9606,"[Coumestrol co-treated with 2,3-bis(3'-hydroxybenzyl)butyrolactone] results in decreased expression of BMP7 mRNA",affects^cotreatment|decreases^expression,19167446
bmp7,"2,4-dinitrotoluene",C016403,121-14-2,BMP7,655,Rattus norvegicus,10116,"2,4-dinitrotoluene affects the expression of BMP7 mRNA",affects^expression,21346803
bmp7,2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole,C408604,,BMP7,655,Mus musculus,10090,2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole inhibits the reaction [(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone promotes the reaction [BMP2 protein results in increased expression of BMP7 mRNA]],decreases^reaction|increases^expression|increases^reaction,25789987
bmp7,3-(4'-hydroxy-3'-adamantylbiphenyl-4-yl)acrylic acid,C472791,,BMP7,655,Mus musculus,10090,3-(4'-hydroxy-3'-adamantylbiphenyl-4-yl)acrylic acid results in increased expression of BMP7 mRNA,increases^expression,16788091
bmp7,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,BMP7,655,Mus musculus,10090,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole inhibits the reaction [(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone promotes the reaction [BMP2 protein results in increased expression of BMP7 mRNA]],decreases^reaction|increases^expression|increases^reaction,25789987
bmp7,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,BMP7,655,Homo sapiens,9606,"[NOG protein co-treated with entinostat co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BMP7 mRNA",affects^cotreatment|increases^expression,27188386
bmp7,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,BMP7,655,Homo sapiens,9606,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BMP7 mRNA",affects^cotreatment|increases^expression,27188386
bmp7,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,BMP7,655,Homo sapiens,9606,"[NOG protein co-treated with Panobinostat co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BMP7 mRNA",affects^cotreatment|increases^expression,27188386
bmp7,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,BMP7,655,Homo sapiens,9606,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BMP7 mRNA",affects^cotreatment|increases^expression,27188386
bmp7,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,BMP7,655,Homo sapiens,9606,"[NOG protein co-treated with trichostatin A co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BMP7 mRNA",affects^cotreatment|increases^expression,27188386
bmp7,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",C459179,,BMP7,655,Homo sapiens,9606,"[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BMP7 mRNA",affects^cotreatment|increases^expression,27188386
bmp7,(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone,C000603489,,BMP7,655,Mus musculus,10090,2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole inhibits the reaction [(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone promotes the reaction [BMP2 protein results in increased expression of BMP7 mRNA]],decreases^reaction|increases^expression|increases^reaction,25789987
bmp7,(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone,C000603489,,BMP7,655,Mus musculus,10090,4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole inhibits the reaction [(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone promotes the reaction [BMP2 protein results in increased expression of BMP7 mRNA]],decreases^reaction|increases^expression|increases^reaction,25789987
bmp7,(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone,C000603489,,BMP7,655,Mus musculus,10090,(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone promotes the reaction [BMP2 protein results in increased expression of BMP7 mRNA],increases^expression|increases^reaction,25789987
bmp7,(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone,C000603489,,BMP7,655,Mus musculus,10090,SB 203580 inhibits the reaction [(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone promotes the reaction [BMP2 protein results in increased expression of BMP7 mRNA]],decreases^reaction|increases^expression|increases^reaction,25789987
bmp7,"5,5'-bis(8-(phenylamino)-1-naphthalenesulfonate)",C035763,63741-13-9,BMP7,655,Homo sapiens,9606,"5,5'-bis(8-(phenylamino)-1-naphthalenesulfonate) promotes the reaction [BMP7 protein binds to BMPR2 protein]",affects^binding|increases^reaction,17363346
bmp7,Acetaminophen,D000082,103-90-2,BMP7,655,Mus musculus,10090,Acetaminophen affects the expression of BMP7 mRNA,affects^expression,17562736
bmp7,Acetylcysteine,D000111,616-91-1,BMP7,655,Rattus norvegicus,10116,[Ethanol co-treated with Dietary Fats co-treated with Acetylcysteine] results in increased expression of BMP7 mRNA,affects^cotreatment|increases^expression,21051528
bmp7,afimoxifene,C016601,68392-35-8,BMP7,655,Homo sapiens,9606,afimoxifene inhibits the reaction [Estrogens results in decreased expression of BMP7 mRNA],decreases^expression|decreases^reaction,21233418
bmp7,Aflatoxin B1,D016604,1162-65-8,BMP7,655,Homo sapiens,9606,Aflatoxin B1 results in decreased methylation of BMP7 exon,decreases^methylation,30157460
bmp7,Aflatoxin B1,D016604,1162-65-8,BMP7,655,Mus musculus,10090,Aflatoxin B1 results in decreased expression of BMP7 mRNA,decreases^expression,19770486
bmp7,aflatoxin B2,C029753,22040-96-6,BMP7,655,Homo sapiens,9606,aflatoxin B2 results in decreased methylation of BMP7 intron,decreases^methylation,30157460
bmp7,aflatoxin B2,C029753,22040-96-6,BMP7,655,Homo sapiens,9606,aflatoxin B2 results in increased methylation of BMP7 exon,increases^methylation,30157460
bmp7,Aflatoxin M1,D016607,6795-23-9,BMP7,655,Homo sapiens,9606,Aflatoxin M1 results in decreased expression of BMP7 mRNA,decreases^expression,30928695
bmp7,Air Pollutants,D000393,,BMP7,655,Mus musculus,10090,[Air Pollutants results in increased abundance of Particulate Matter] which results in increased expression of BMP7 mRNA,increases^abundance|increases^expression,34327871
bmp7,Aldehydes,D000447,,BMP7,655,Homo sapiens,9606,Aldehydes results in increased expression of BMP7 mRNA,increases^expression,25014914
bmp7,Ammonium Chloride,D000643,12125-02-9,BMP7,655,Rattus norvegicus,10116,Ammonium Chloride affects the expression of BMP7 mRNA,affects^expression,16483693
bmp7,Amphotericin B,D000666,1397-89-3,BMP7,655,Homo sapiens,9606,Amphotericin B analog results in increased expression of BMP7 mRNA,increases^expression,28534445
bmp7,Antirheumatic Agents,D018501,,BMP7,655,Homo sapiens,9606,Antirheumatic Agents results in increased expression of BMP7 mRNA,increases^expression,24449571
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,aristolochic acid I results in decreased expression of and results in decreased activity of BMP7 protein,decreases^activity|decreases^expression,22525892
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,aristolochic acid I results in decreased expression of BMP7 mRNA,decreases^expression,22525892
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [[aristolochic acid I co-treated with aristolochic acid II] results in increased expression of CTNNB1 protein],affects^cotreatment|decreases^reaction|increases^expression,25663515
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [[aristolochic acid I co-treated with aristolochic acid II] results in increased expression of VIM protein],affects^cotreatment|decreases^reaction|increases^expression,25663515
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,BMP7 protein promotes the reaction [[aristolochic acid I co-treated with aristolochic acid II] results in increased expression of VIM protein],affects^cotreatment|increases^expression|increases^reaction,25663515
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,BMP7 protein results in decreased susceptibility to aristolochic acid I,decreases^response to substance,22525892
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,GREM1 mutant form inhibits the reaction [aristolochic acid I results in decreased activity of BMP7 protein],decreases^activity|decreases^reaction,22525892
bmp7,aristolochic acid I,C000228,313-67-7,BMP7,655,Homo sapiens,9606,GREM1 protein inhibits the reaction [BMP7 protein results in decreased susceptibility to aristolochic acid I],decreases^reaction|decreases^response to substance,22525892
bmp7,aristolochic acid II,C042310,475-80-9,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [[aristolochic acid I co-treated with aristolochic acid II] results in increased expression of CTNNB1 protein],affects^cotreatment|decreases^reaction|increases^expression,25663515
bmp7,aristolochic acid II,C042310,475-80-9,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [[aristolochic acid I co-treated with aristolochic acid II] results in increased expression of VIM protein],affects^cotreatment|decreases^reaction|increases^expression,25663515
bmp7,aristolochic acid II,C042310,475-80-9,BMP7,655,Homo sapiens,9606,BMP7 protein promotes the reaction [[aristolochic acid I co-treated with aristolochic acid II] results in increased expression of VIM protein],affects^cotreatment|increases^expression|increases^reaction,25663515
bmp7,Aristolochic Acids,D034341,,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [Aristolochic Acids results in decreased expression of CDH1 protein],decreases^expression|decreases^reaction,20696222
bmp7,Aristolochic Acids,D034341,,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [Aristolochic Acids results in increased activity of CASP3 protein],decreases^reaction|increases^activity,20696222
bmp7,Aristolochic Acids,D034341,,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [Aristolochic Acids results in increased expression of ACTA2 protein],decreases^reaction|increases^expression,20696222
bmp7,Aristolochic Acids,D034341,,BMP7,655,Homo sapiens,9606,BMP7 protein inhibits the reaction [Aristolochic Acids results in increased secretion of TGFB1 protein],decreases^reaction|increases^secretion,20696222
bmp7,Aristolochic Acids,D034341,,BMP7,655,Homo sapiens,9606,BMP7 protein results in decreased susceptibility to Aristolochic Acids,decreases^response to substance,20696222
bmp7,arsenite,C015001,15502-74-6,BMP7,655,Homo sapiens,9606,arsenite results in increased expression of BMP7 mRNA,increases^expression,31646340
bmp7,Ascorbic Acid,D001205,50-81-7,BMP7,655,Rattus norvegicus,10116,[Ascorbic Acid co-treated with beta-glycerophosphoric acid] results in increased expression of BMP7 mRNA,affects^cotreatment|increases^expression,15994055
bmp7,Atrazine,D001280,1912-24-9,BMP7,655,Mus musculus,10090,Atrazine results in decreased expression of BMP7 mRNA,decreases^expression,33463082
bmp7,Azoxymethane,D001397,25843-45-2,BMP7,655,Mus musculus,10090,[titanium dioxide co-treated with Azoxymethane co-treated with Dextran Sulfate] results in decreased expression of BMP7 mRNA,affects^cotreatment|decreases^expression,29950665
bmp7,benz(a)anthracene,C030935,56-55-3,BMP7,655,Mus musculus,10090,benz(a)anthracene results in decreased expression of BMP7 mRNA,decreases^expression,26377693
bmp7,Benzo(a)pyrene,D001564,50-32-8,BMP7,655,Boreogadus saida,44932,[Benzo(a)pyrene co-treated with Ethinyl Estradiol] results in decreased expression of BMP7 mRNA,affects^cotreatment|decreases^expression,34015484
bmp7,Benzo(a)pyrene,D001564,50-32-8,BMP7,655,Homo sapiens,9606,Benzo(a)pyrene affects the methylation of BMP7 promoter,affects^methylation,27901495
bmp7,Benzo(a)pyrene,D001564,50-32-8,BMP7,655,Homo sapiens,9606,Benzo(a)pyrene results in decreased expression of BMP7 mRNA,decreases^expression,22316170
bmp7,Benzo(a)pyrene,D001564,50-32-8,BMP7,655,Homo sapiens,9606,Benzo(a)pyrene results in increased methylation of BMP7 exon,increases^methylation,27901495
bmp7,Benzo(a)pyrene,D001564,50-32-8,BMP7,655,Mus musculus,10090,Benzo(a)pyrene results in decreased expression of BMP7 mRNA,decreases^expression,19770486
bmp7,beta-glycerophosphoric acid,C031463,17181-54-3,BMP7,655,Rattus norvegicus,10116,[Ascorbic Acid co-treated with beta-glycerophosphoric acid] results in increased expression of BMP7 mRNA,affects^cotreatment|increases^expression,15994055
bmp7,bis(4-hydroxyphenyl)sulfone,C543008,80-09-1,BMP7,655,Mus musculus,10090,bis(4-hydroxyphenyl)sulfone results in increased expression of BMP7 mRNA,increases^expression,30951980
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Mus musculus,10090,bisphenol A results in decreased expression of BMP7 mRNA,decreases^expression,14994273
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Mus musculus,10090,bisphenol A results in decreased methylation of BMP7 promoter,decreases^methylation,27312807
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Mus musculus,10090,bisphenol A results in increased expression of BMP7 mRNA,increases^expression,30951980|32156529
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Mus musculus,10090,Fulvestrant inhibits the reaction [bisphenol A results in decreased expression of BMP7 mRNA],decreases^expression|decreases^reaction,14994273
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Ovis aries,9940,bisphenol A results in decreased expression of BMP7 mRNA,decreases^expression,32417515
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Rattus norvegicus,10116,[bisphenol A co-treated with Estradiol] results in decreased expression of BMP7 mRNA,affects^cotreatment|decreases^expression,26496021
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Rattus norvegicus,10116,bisphenol A results in decreased expression of BMP7 mRNA,decreases^expression,25181051|30816183|34947998
bmp7,bisphenol A,C006780,80-05-7,BMP7,655,Rattus norvegicus,10116,bisphenol A results in increased expression of BMP7 mRNA,increases^expression,32145629
bmp7,bisphenol F,C000611646,,BMP7,655,Mus musculus,10090,bisphenol F results in increased expression of BMP7 mRNA,increases^expression,30951980
bmp7,Bleomycin,D001761,11056-06-7,BMP7,655,Mus musculus,10090,Bleomycin results in decreased expression of BMP7 mRNA,decreases^expression,29408570
bmp7,Boron,D001895,7440-42-8,BMP7,655,Homo sapiens,9606,Boron results in increased expression of BMP7 mRNA,increases^expression,21625915
bmp7,brevetoxin 2,C546611,,BMP7,655,Homo sapiens,9606,brevetoxin 2 results in increased expression of BMP7 mRNA,increases^expression,20498034
bmp7,butyraldehyde,C018475,123-72-8,BMP7,655,Homo sapiens,9606,butyraldehyde results in increased expression of BMP7 mRNA,increases^expression,26079696
bmp7,Cadmium,D002104,7440-43-9,BMP7,655,Homo sapiens,9606,Cadmium results in increased expression of BMP7 mRNA,increases^expression,31646340
bmp7,Cadmium,D002104,7440-43-9,BMP7,655,Mus musculus,10090,[Cadmium Chloride results in increased abundance of Cadmium] which results in decreased expression of BMP7 mRNA,decreases^expression|increases^abundance,36114956
bmp7,Cadmium,D002104,7440-43-9,BMP7,655,Mus musculus,10090,[Cadmium Chloride results in increased abundance of Cadmium] which results in increased expression of BMP7 mRNA,increases^abundance|increases^expression,33387572
bmp7,Cadmium Chloride,D019256,10108-64-2,BMP7,655,Mus musculus,10090,[Cadmium Chloride results in increased abundance of Cadmium] which results in decreased expression of BMP7 mRNA,decreases^expression|increases^abundance,36114956
bmp7,Cadmium Chloride,D019256,10108-64-2,BMP7,655,Mus musculus,10090,[Cadmium Chloride results in increased abundance of Cadmium] which results in increased expression of BMP7 mRNA,increases^abundance|increases^expression,33387572
bmp7,Calcitriol,D002117,32222-06-3,BMP7,655,Rattus norvegicus,10116,Calcitriol results in decreased expression of BMP7 protein,decreases^expression,15728789
bmp7,Cannabidiol,D002185,13956-29-1,BMP7,655,Rattus norvegicus,10116,Cannabidiol affects the methylation of BMP7 gene,affects^methylation,30521419
bmp7,Cannabinoids,D002186,,BMP7,655,Homo sapiens,9606,[Cannabinoids results in increased abundance of 11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid] which affects the methylation of BMP7 gene,affects^methylation|increases^abundance,30521419
bmp7,Carbon Tetrachloride,D002251,56-23-5,BMP7,655,Mus musculus,10090,Carbon Tetrachloride results in decreased expression of BMP7 mRNA,decreases^expression,25270620
bmp7,Carmustine,D002330,154-93-8,BMP7,655,Homo sapiens,9606,Carmustine results in decreased expression of BMP7 mRNA,decreases^expression,15980968
bmp7,Chlorpyrifos,D004390,2921-88-2,BMP7,655,Gallus gallus,9031,[Chlorpyrifos co-treated with cypermethrin] results in decreased expression of BMP7 mRNA,affects^cotreatment|decreases^expression,31593814
bmp7,Cisplatin,D002945,15663-27-1,BMP7,655,Homo sapiens,9606,BMP7 protein affects the susceptibility to Cisplatin,affects^response to substance,16217747
bmp7,Clobetasol,D002990,25122-41-2,BMP7,655,Mus musculus,10090,Clobetasol results in increased expression of BMP7 mRNA,increases^expression,27462272
bmp7,Copper,D003300,7440-50-8,BMP7,655,Rattus norvegicus,10116,Copper results in increased expression of BMP7 mRNA,increases^expression,30556269
bmp7,Coumestrol,D003375,479-13-0,BMP7,655,Homo sapiens,9606,"[Coumestrol co-treated with 2,3-bis(3'-hydroxybenzyl)butyrolactone] results in decreased expression of BMP7 mRNA",affects^cotreatment|decreases^expression,19167446
bmp7,Coumestrol,D003375,479-13-0,BMP7,655,Homo sapiens,9606,[Coumestrol co-treated with Resveratrol] results in decreased expression of BMP7 mRNA,affects^cotreatment|decreases^expression,19167446
bmp7,Coumestrol,D003375,479-13-0,BMP7,655,Homo sapiens,9606,Coumestrol results in decreased expression of BMP7 mRNA,decreases^expression,19167446
bmp7,Cyanamide,D003484,420-04-2,BMP7,655,Mus musculus,10090,Cyanamide inhibits the reaction [CGA protein results in increased expression of BMP7 mRNA],decreases^reaction|increases^expression,22285649
bmp7,Cyclosporine,D016572,59865-13-3,BMP7,655,Mus musculus,10090,Cyclosporine results in decreased expression of BMP7 mRNA,decreases^expression,21354196
bmp7,cypermethrin,C017160,52315-07-8,BMP7,655,Gallus gallus,9031,[Chlorpyrifos co-treated with cypermethrin] results in decreased expression of BMP7 mRNA,affects^cotreatment|decreases^expression,31593814
bmp7,decamethrin,C017180,52820-00-5,BMP7,655,Mus musculus,10090,decamethrin affects the expression of BMP7 mRNA,affects^expression,37019170
bmp7,Decitabine,D000077209,2353-33-5,BMP7,655,Homo sapiens,9606,Decitabine results in decreased methylation of BMP7 promoter,decreases^methylation,19283074
bmp7,Decitabine,D000077209,2353-33-5,BMP7,655,Homo sapiens,9606,Decitabine results in increased expression of BMP7 mRNA,increases^expression,16367923|19283074
bmp7,Decitabine,D000077209,2353-33-5,BMP7,655,Mus musculus,10090,Decitabine results in increased expression of BMP7 mRNA,increases^expression,27915011
bmp7,Dehydroepiandrosterone,D003687,53-43-0,BMP7,655,Oncorhynchus mykiss,8022,Dehydroepiandrosterone results in decreased expression of BMP7 mRNA,decreases^expression,17823450|18709148
bmp7,Dexamethasone,D003907,50-02-2,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of CS mRNA,affects^cotreatment|affects^expression,33091441
bmp7,Dexamethasone,D003907,50-02-2,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of HGF mRNA,affects^cotreatment|affects^expression,33091441
bmp7,Dexamethasone,D003907,50-02-2,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of MMP2 mRNA,affects^cotreatment|affects^expression,33091441
bmp7,Dexamethasone,D003907,50-02-2,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of PPARGC1A mRNA,affects^cotreatment|affects^expression,33091441
bmp7,Dexamethasone,D003907,50-02-2,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of PPARGC1A protein,affects^cotreatment|affects^expression,33091441
bmp7,Dexamethasone,D003907,50-02-2,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of PRDM16 mRNA,affects^cotreatment|affects^expression,33091441
