Geneid	G01.xls	G02.xls	G03.xls	G04.xls	G05.xls	G06.XLS	G07.XLS	G09.XLS	G10.XLS	G11.XLS	G12.XLS	G13.XLS	G14.XLS	G15.XLS	G16.XLS	G17.XLS	G18.XLS
Brush-1	0,14259927	0,049090907	0,037000973	0	0,22926827	0	0,010471203	0,015841585	0,11390729	0	0,07401316	0,051750384	0	0,14744526	0,05714286	0,058823526	0
trkC	0,12635379	0,047272723	0,06037001	0,03515625	0	0,22058824	0,2582897	0,087128714	0	0,00256082	0,044407897	0,01369863	0,087272726	0,010218978	0	0	0
NR1I3	0	0,10727273	0,19279455	0,048828125	0	0,09453782	0,017452005	0,16435644	0	0	0	0,12633182	0,123636365	0	0	0	0,05555556
trkC	0,2743682	0,11272726	0,23369037	0,37890625	0,18780486	0,22268909	0,3176265	0,2891089	0,17350994	0,43277848	0,37664473	0,23287672	0,29090908	0,459854	0,42857146	0,11764705	0,44444448
IL10RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RA	0,19314077	0	0,18305744	0,078125	0,25853658	0,32563025	0,24781847	0	0,8331126	0,49679896	0,108552635	0,10502284	0,101818174	0,13430656	0,085714296	0	0
TYRO3	0,00902527	0	0	0	0	0,042016808	0	0	0	0	0	0	0	0	0	0	0
PTK9	0,111913346	0,05636363	0,20253165	0,13867188	0,14634146	0	0,101221636	0	0	0,010243278	0,03782895	0,041095894	0	0,09343066	0	0,058823526	0,11111112
FLT3	0,10469314	0,05818182	0,16358325	0,0703125	0,13414633	0	0,07678883	0,11287128	0,050331127	0,32266328	0,11019737	0,22070016	0	0,02189781	0,02857143	0,058823526	0,05555556
IL12RB1	0,03971119	0,007272727	0	0	0,0902439	0	0,013961605	0,003960396	0,34834436	0	0,12335527	0,066971086	0	0,2	0,2	0,17647058	0,2777778
FLT3LG	0,93682307	0,61999995	0,4712756	0,033203125	0	0,012605043	0	0	0,23311259	0	0	0,21613395	0,10909091	0	0	0	0
FLT3LG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hCox-2	0	0,06727272	0	0	0,09268292	0	0,06980802	0	0,018543046	0	0	0	0	0	0,05714286	0	0
PEBP2aC1	0,1570397	0	0,1772152	0	0	0,20168069	0,048865613	0,2752475	0,18013245	0,064020485	0	0	0	0	0	0	0
TFIIB	0,07400721	0,17090908	0,095423564	0,00390625	0,21463415	0	0	0	0,01986755	0	0,12171053	0,100456625	0,014545455	0	0	0,11764705	0
GATA-2	0	0	0	0	0	0	0	0	0	0	0,12335527	0	0	0	0	0	0
GATA-2	1,2833934	1,0763636	0,9113924	1,0214844	0,70487803	0,18487395	1,4589876	1,4851485	1,5483444	0,6299616	2,8273027	1,9238966	1,7236364	1,5138686	1,3428571	1,4117646	1,2222223
transcription elongation factor SII	0,5703971	0,7618182	0,7692308	0,6503906	1,0731707	0,9411765	0,54450256	0	0,1615894	0,63764405	0,27631578	0,24048707	0,86909086	0,30364963	0,085714296	0,29411763	0,5
RAB1	0	0	0,027263876	0,1015625	0,19756098	0	0,041884813	0	0	0,1049936	0,003289474	0	0,16727272	0	0	0	0,05555556
IFNA16	0	0	0,031158715	0	0,11219511	0	0,08027922	0	0	0	0	0	0	0	0	0	0
IL1	0,2075812	0,16727272	0,101265825	0,25585938	0,24634147	0,46218488	0,05933682	0,18415841	0,13245033	0,50192064	0,20559211	0,12633182	0,23636363	0,17372262	0,31428573	0,29411763	0,22222224
RAG1	0	0	0,031158715	0,005859375	0,07804878	0	0	0	0,06490067	0	0,009868422	0	0	0	0	0	0
PRLR	0	0	0	0	0	0	0,052356016	0,12277227	0	0	0	0	0	0	0	0	0
PRLR	0,11552346	0,016363636	0	0,15234375	0	0,2289916	0,003490401	0,25742573	0	0,25096032	0	0	0	0	0	0	0,05555556
"LOC286526; RAR2"	0	0,018181818	0	0	0	0,25840336	0	0	0	0	0	0	0	0	0	0	0
CYP1A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODC1	0,30866423	0,20727271	0,20253165	0,10546875	0,30487803	0,31932774	1,0610819	0,7168317	0	0,4071703	0	0	0	0	0,25714287	0	0,05555556
PLCG1	0,005415162	0,012727272	0,06815969	0,1796875	0	0	0	0,035643563	0	0,053777207	0,003289474	0	0,050909087	0,03941606	0	0,058823526	0,05555556
MUC1	0	0,20181818	0,35248297	0	0,3219512	0,40756303	0	0,52871287	0,18940398	0,33290654	0,16776316	0,15068494	0,43636364	0,17664234	0,2857143	0,11764705	0,11111112
ABL2	0,046931405	0,02	0,025316456	0,01953125	0	0	0	0	0	0	0	0	0	0	0	0	0
PLC1	0,333935	0,46909088	0,60564756	0,29101562	0,78292674	0,6155462	0,58638734	0,77425736	0,6357616	0,7912932	0,36677632	0,7929985	0,58909094	0,7941606	0,6571429	0,35294116	0,3888889
CSF2RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPOR	0,064981945	0	0	0	0	0	0	0	0	0	0	0,009132421	0	0	0	0	0
BDNF	0	0	0	0	0,10487805	0,008403362	0	0,055445544	0	0	0	0	0,11272726	0	0	0,058823526	0,11111112
	0,71299636	0,33818182	0,5744888	0,4453125	0	0,13445379	0,6736474	0,32871288	0	0,39180538	0,57401323	0	0	0	0,6	0,11764705	0
"LOC286526; RAR2"	0	0	0	0	0	0	0,06631762	0	0	0	0,016447369	0,08828007	0	0	0	0	0
	0,5379061	0,43454543	0,1674781	0,74609375	0,7707317	0,1764706	0,7260034	0,4990099	0,28211918	0,7016645	0,3700658	0,5357687	0,36727273	0,30072993	0,48571432	0,17647058	0,44444448
PRKAR1B	1,3303248	1,510909	1,2502434	1,1132812	1,4878048	1,8172269	1,3123908	0,6495049	0,9350993	2,6453266	1,1842105	1,585997	2,2	1,2321168	0,97142863	1,2941176	1,1666666
EDN2	0	0	0	0	0	0	0	0	0	0	0	0,10197869	0	0	0	0	0
SNRPEP1	0	0,090909086	0	0,18554688	0,043902434	0,016806724	0	0	0	0,005121639	0,034539472	0	0	0,016058395	0	0	0,05555556
SNRPEP1	0	0	0,07010711	0	0,13170731	0	0	0,13069306	0	0	0	0	0	0	0	0	0
HGF	0,03610108	0,014545455	0	0	0,065853655	0,033613447	0	0	0	0,058898848	0	0	0,010909091	0	0	0	0,05555556
cell surface protein CD19	0,801444	0,55636364	0,89581305	0,50390625	0,4829268	0,61764705	0,49563694	0,25742573	0,5205298	0,6888604	0,9539474	1,2161341	0,58909094	0,49343064	0,4571429	0,11764705	0,11111112
EBI 1	0,33032486	0,6527273	0,47711784	0,38085938	0,37560973	0,4159664	0,017452005	0,057425745	0,34701988	0,29449424	0,3026316	0,3211568	0,4181818	0,20875913	0	0,058823526	0,05555556
"THPO; TPO; MGDF; MKCSF; MPLLG"	0	0,047272723	0,066212274	0,02734375	0	0	0,19895285	0	0,005298013	0,028169015	0	0	0	0,020437956	0	0	0
GSTT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p40	0,5469313	0,36909088	0,5141188	0,6113281	0,68048775	0,6827731	0,3734729	0,16237622	0,15496689	0,70422536	0,31743422	0	0,45090905	0,17226277	0,25714287	0,4705882	0,5
IRAK1	0,19855595	0,4490909	0,37974685	0,5175781	0,11707317	0,17436975	0,6561954	0,54653466	0,8331126	0,43790016	0,7121711	0,47488588	0,21818182	0,27737227	0,22857144	0,11764705	0,5555556
Fe65	1,4422382	1,290909	1,8948394	1,03125	1,3	1,2142857	0,48167536	0,8970297	2,1827815	1,4238156	1,7351974	1,6118722	0,3490909	1,6496351	1,8571429	1,5294117	1,388889
GRL	0,27256316	0,22363636	0,24148004	0,25976562	0,3609756	0,25	0	0	0,17086092	0,11267606	0,16118422	0,20395738	0,03272727	0,035036497	0,2	0,29411763	0,16666669
ANG	0	0	0	0	0	0,12184875	0	0	0,00397351	0	0,029605264	0,033485543	0	0	0	0	0
HSPA1L	0,04512635	0,23090908	0,35248297	0	0,5609756	0,24579832	0	0	0	0,09731114	0	0	0,007272727	0	0	0	0
TCRB	1,0469314	0,71636367	0,6251217	0,75390625	0,84878045	1,6197479	1,1623036	0,71881187	1,234437	2,7426376	0,73355263	0,60273975	0,45818183	0,41021898	0,37142858	0,29411763	0,3888889
TCRA	0,86642593	0,64363635	0,57059395	0,7480469	0,7365854	0,44327733	0,9633507	0,9386139	0,59735096	0,97055066	0,93421054	0,5555556	0,44727272	0,5635036	1,4000001	0,9411764	0,88888896
G1P2	1,5938628	2,3490908	1,020448	0,97265625	2,9512193	2,4936974	1,6439788	0,6059406	5,460927	2,4404612	1,694079	1,2039574	2,4836364	3,9021895	1,1714286	1,1764705	0,8333334
EPHA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSPG4	1,0974728	1,0781817	1,0613438	1,0761719	2,2536585	1,8151262	0,6736474	0,44158414	0,54039735	4,7912936	1,4703948	0,42313546	2,32	0,73722625	0,71428573	0,17647058	1
TCRD	0,46209383	0,2672727	0,27848104	0,234375	0,18780486	0,35714287	0,20942406	0,21980198	0,39205298	0,6171575	0,5328948	0,7138509	0,33454543	0,2978102	0,14285715	0,35294116	0,22222224
NCAM	0,22563176	0,3109091	0,19474196	0,8261719	0	0	0,3979057	0	0	0,6299616	0,6332237	0,7199391	0,5381818	0	0	0,41176468	0
NCAM	0,18953067	0,15818182	0,30963972	0,20507812	0,5707317	0,10714286	0,12216404	0,13267326	0,3629139	0,50192064	0,1694079	0,44901067	0,16363636	0,35474452	0	0,11764705	0,22222224
BMP2	0	0	0	0	0	0	0,06980802	0	0	0	0	0	0	0	0	0	0
BMP2	0,21119131	0,13272727	0	0,13867188	0,12926829	0,15966387	0,21989527	0	0,33907285	0	0	0,028919332	0	0,06423358	0	0,11764705	0,11111112
PF4	0,037906133	0,17636363	0,29016554	0,13476562	0,114634134	0,084033616	0	0	0,09403973	0,1049936	0,0625	0,051750384	0,22181816	0,05839416	0	0,17647058	0,11111112
cell surface protein CD19	0,6516245	0,5672727	1,1236612	0,9433594	0,69024384	1,289916	0,6841186	0,30495048	0,21986756	0,44558257	0,6184211	0,82800615	0,75272727	0,78248173	0,085714296	0,99999994	0,7222222
CDA	1,2978339	1,1272727	1,0243428	1,3183594	1,4829267	1,1281513	1,0226874	0,7405941	1,1986755	1,3700384	1,34375	1,3972604	1,0581818	0,88029194	0,51428574	0,76470584	0,5
PTGER4	0	0	0,038948394	0,048828125	0	0	0,07329842	0,037623763	0,13509934	0,05633803	0	0,14459665	0,018181818	0,13138686	0,02857143	0	0
RPA2	0,59566784	0,78181815	0,48685494	0,5371094	0,9317073	0,97479	0,7294938	0,4811881	0,3231788	1,5851473	0,49342108	0,8340944	1,0981818	0,740146	0,14285715	0,29411763	0,2777778
RABGGTA	0,06859205	0,11454546	0	0,18554688	0,13902438	0,063025214	0,09424083	0	0,095364235	0,21766965	0,039473686	0,1826484	0,014545455	0,18686132	0	0	0
GSTM3	0,9079422	0,71272725	0,74391437	0,6269531	0	0,6239496	0,7958114	0,13465346	1,6847682	0,6171575	0,5246711	1,1019788	0,42545453	1,4116788	1,2285715	2,117647	1
GSTM3	0,4783393	0,44545454	0,35053554	0,34570312	0,77560973	0,5189076	0,43979055	0	0,25695363	0,16901408	0,41282898	0,08219179	0,27999997	0,099270076	0	0,2352941	0,5
CGB	1,6173284	1,2509091	1,1723467	1,1484375	1,7609755	1,5126051	1,4240836	0,7782178	0,53377485	2,8476312	1,4490132	1,8493152	2,0072727	0,7970803	0,34285718	0,82352936	0,7777778
GHRHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLL	0,33032486	0,35636362	0,5608569	0,5	0,11219511	0,5084034	0	0,14059405	0,21192053	0,40204865	0,23519738	0,015220701	0,5454545	0,10218978	0,2	0	0
CD44	0,25631768	0,28545454	0,15189874	0,23242188	0,13902438	0	0,41186732	0,059405938	0,30066225	0,14596671	0,20230263	0,30745816	0,10909091	0,15912408	0,02857143	0,058823526	0,05555556
	0,04151624	0	0	0,119140625	0,029268293	0,17226891	0,15706804	0,13861386	0,17748344	0,39948785	0,18914475	0,059360735	0,098181814	0,03211679	0,085714296	0,058823526	0,05555556
RPS6KA1	0,38628155	0	0,009737099	0,25585938	0	0,3907563	0	0,22376238	0,63311255	0,21254802	0,38980266	0	0	0,04379562	0,2857143	0,058823526	0
CMKR-1	0,36281586	0,32545453	0,35053554	0,48046875	0,5560975	0,36764708	0,43630013	0	0,7443709	0,5505762	0,6957237	0,8964993	0,2690909	0,34306568	0	0,41176468	0,44444448
GBX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCG1	0,11732851	0,11272726	0,06426485	0	0,14878048	0,2436975	0,3350785	0,21386139	0,27284768	0	0,11513159	0,1628615	0,014545455	0,099270076	0,14285715	0,11764705	0,11111112
MAP2K1	0,81046927	0,6927272	0,3836417	0,7558594	1,0658536	0,91386557	0,8830714	0,21782178	0,22384106	0,6043534	0,68421054	0,5692542	0,58181816	0,04087591	0	0,2352941	0,33333337
MAP2K2	1,6227436	1,4654545	2,1324246	0,9824219	0,94390243	3,2668068	3,0331585	2,079208	3,9456952	3,9641488	1,0608553	2,7701676	3,9381819	2,2043796	1,6285714	1,1176469	0,7777778
RARG	1,33213	1,3618182	1,164557	0,69921875	1,0853658	0,7962185	0,652705	0,8019802	0,87682116	1,6005121	1,5032896	0,8143075	1,7709091	0,8029197	0,8285715	0,9411764	0,88888896
EN2	0,1498195	0	0	0,09375	0	0	0,18150085	0	0,18543047	0	0,060855266	0	0	0	0	0	0
ACK1	1,1750902	1,1818181	2,0934763	1,21875	0,60731703	1,9285716	1,445026	1,0316831	4,525828	1,5723432	3,087171	3,9863014	0,7563636	3,137226	1,3142858	2,9411764	2,5
GRK5	2,2238264	2,32	2,2434275	2,1015625	2,6512194	3,2100842	1,3019196	1,071287	1,6715231	1,7464788	1,5476974	1,38965	0,65090907	1,7635037	2,3714287	1,6470587	1,8888891
CDC8	0	0,03454545	0	0,17382812	0	0,33823532	0,05933682	0	0,16556291	0	0	0,00152207	0,15272726	0,030656932	0,31428573	0,2352941	0,16666669
GLVR2	0	0,03272727	0,38169426	0	0,24634147	0	0,23036647	0,037623763	0	0,12548016	0,016447369	0,07153729	0	0	0,05714286	0,11764705	0,11111112
GLVR1	0,9729242	0,9272727	0,74391437	0,390625	1,0219512	1,2184874	0,57940656	1,0415841	0,8397351	0,9346991	0,7450658	0,8538813	0,52363634	0,78832114	0,14285715	0,7058823	0,66666675
G13	0,088447645	0,02909091	0	0	0	0,042016808	0	0,14455445	0	0	0	0	0,03272727	0	0	0,058823526	0,05555556
MAPT	0,14440432	0	0,13047712	0,203125	0,0902439	0,10294118	0,10471203	0,071287125	0,08476821	0,11267606	0,014802632	0,152207	0	0,04087591	0	0,11764705	0,11111112
ITGAE	0,124548726	0,11090908	0,17332035	0,013671875	0,07317073	0	0,07678883	0	0	0	0	0	0	0	0	0	0
MC5R	0,0902527	0,22	0,14216164	0,43554688	0,07560975	0,2331933	0,21989527	0,102970295	0,09933775	0,07426377	0,44736844	0,14916287	0,29454547	0,18686132	0,085714296	0,17647058	0,22222224
	0,23646209	0,20727271	0,30769232	0,26367188	0,27073172	0,2436975	0,31064567	0,20792079	0,13377485	0,33290654	0,06414474	0,24657537	0,19636363	0,2729927	0,25714287	0,058823526	0,16666669
	0	0	0	0	0	0	0,031413607	0	0	0	0,09210526	0,20243533	0	0,024817519	0	0	0
	0	0	0,054527752	0	0	0,060924374	0	0	0	0	0	0,02130898	0,02909091	0	0	0	0
	0,124548726	0,07636363	0,05842259	0,328125	0,32926828	0,25	0,54799294	0	0	0,1715749	0,097039476	0,15525115	0,2109091	0,004379562	0	0	0
	0	0	0	0,0078125	0	0	0	0,059405938	0,0781457	0	0	0	0,08363636	0	0	0	0,11111112
	0,30144402	0,19272727	0,5744888	0,5390625	0,12439024	0,25	0,7260034	0,62376237	0,32052982	0	0,29276314	0,3850837	0,36727273	0,8613139	0,4	0,6470588	0,61111116
	0	0	0	0	0,009756098	0	0,03490401	0,051485147	0,047682118	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPT	0	0,04	0,21616359	0	0	0,05252101	0	1,1821783	0	0,45326507	0	1,042618	0	0,042335767	1,0285715	0,76470584	1,0555556
	0,19314077	0,052727275	0,1772152	0,26953125	0,043902434	0,3004202	0,19546245	0,087128714	0,01986755	0,35851473	0,12006579	0,14155252	0,02909091	0,09489051	0,085714296	0,058823526	0,16666669
	1,1534295	1,1727272	2,013632	1,4453125	1,612195	0,8382354	0,80279225	0,6871287	0,13774835	0,4865557	0,04276316	1,3165907	0,6218182	1,3970802	0	1,235294	1,5000001
CGB	0,5180505	0,0690909	0,49659202	0,765625	0,33902436	0,018907564	0,31064567	0,34455445	0,5602649	0,2586428	1,0953947	0,90867585	0,3490909	0,4379562	0	0,29411763	0,44444448
