File Name ()*			G01.xls	G02.xls	G03.xls	G04.xls	G05.xls	G06.XLS	G07.XLS	G09.XLS	G10.XLS	G11.XLS	G12.XLS	G13.XLS	G14.XLS	G15.XLS	G16.XLS	G17.XLS	G18.XLS
1012_at	P/CAF	U57317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013_at	MADH5	U59913	0	0,07272727	0,0895813	0,083984375	0,102439016	0,05882353	0	0,04950495	0	0	0,065789476	0,060882803	0	0,04379562	0,02857143	0,058823526	0,05555556
1014_at	POLG	U60325	0,21119131	0,5018182	0,42064267	0,0546875	0,26341462	0,014705882	0,3490401	0,087128714	0,011920529	0,17925736	0,044407897	0,238965	0,52363634	0,39416057	0	0,2352941	0,44444448
1015_s_at	LIMK1	U62293	0,21841155	0,32	0	0	0,048780486	0	0,013961605	0	0	0,023047375	0	0	0	0	0	0	0
1016_s_at	IL13RA2	U70981	0	0	0,19084713	0,26757812	0	0,027310925	0	0	0	0	0	0,02739726	0,025454544	0	0,14285715	0	0
1017_at	hMSH6	U73737	0,31227434	0,33454543	0,26874393	0,15039062	0,43658534	0,27310926	0,2862129	0	0,07019868	0,14852753	0,039473686	0,3196347	0,12727273	0,329927	0,085714296	0,058823526	0,22222224
1018_at	Wnt10B	U81787	0	0	0	0	0	0	0	0	0	0	0	0,2907154	0	0,1489051	0	0,29411763	0,11111112
1019_g_at	Wnt10B	U81787	0,17148013	0	0,16358325	0	0,4341463	0,15756303	0,16055845	0,10891089	0,34966886	0	0,3700658	0,22070016	0,17090908	0,30364963	0,14285715	0,35294116	0,16666669
101_at	Dyrk4	Y09305	0	0	0	0,076171875	0,002439024	0	0	0,16633663	0	0	0	0	0,39272726	0	0	0	0
1020_s_at	KIP	U85611	0,35920575	0,46363634	0,6329114	0,43554688	0,77804875	0,4369748	0,49912736	0,48514852	0,21986756	0,32266328	0,25822368	0,17503805	0,53090906	0,36204377	0,17142859	0,41176468	0,44444448
1021_at	IFNG	J00219	0,30324906	0,101818174	0,18111004	0,31054688	0,20243903	0,31932774	0,2687609	0,37623763	0,12980133	0,18950064	0,24671054	0,17503805	0,15272726	0,22773723	0,14285715	0,11764705	0,22222224
1022_f_at	IFNA14	V00542	0,08122743	0,07272727	0	0,01171875	0	0	0	0	0,03178808	0	0,07401316	0	0	0	0	0	0
1023_at	EPO	X02158	0	0	0	0	0	0,010504202	0	0	0	0	0	0,012176561	0	0	0	0	0
1024_at	"CYP1A1; AHH; AHRR; CP11; P1-450; P450-C; P450DX"	X02612	0,4783393	0,3018182	0,20447907	0,33984375	0,20487803	0	0,05584642	0	0	0,18693984	0,32236844	0,34398785	0,021818181	0,17664234	0,05714286	0,11764705	0,11111112
1025_g_at	"CYP1A1; AHH; AHRR; CP11; P1-450; P450-C; P450DX"	X02612	0,09205776	0,010909091	0	0	0	0,04621849	0,14310645	0	0	0,09987196	0,14144738	0,00152207	0,16727272	0,13576643	0	0,058823526	0,05555556
1026_s_at	COL11A2	U41068	0,7635378	0,12545455	0,18889971	0,02734375	0,007317073	0	0,5514834	0	0,3960265	1,0448143	0,04605263	0	0,74181813	0,16058394	0,37142858	0	0
1027_at	COL11A2	U41068	0	0	0	0	0	0,065126054	0	0	0	0,015364918	0	0	0	0	0	0	0
1028_at	TOP3A	U43431	0,635379	0,45090905	0,51606625	0,38867188	0,57560974	0,3697479	0,38394412	0,118811876	0,29271525	0,45582587	0,3470395	0,4733638	0,52	0,36934304	0,2	0,2352941	0,2777778
1029_s_at	TXK	U07794	0,12274367	0	0,009737099	0	0,15853658	0,031512607	0	0	0	0	0	0	0,11272726	0	0	0	0
102_at	Dyrk6	Y09306	0,113718405	0,10545455	0	0,20117188	0,13902438	0,15546219	0	0,21584158	0,10728478	0,005121639	0,001644737	0	0,050909087	0,04671533	0	0	0
1030_s_at	TOP1	U07806	1,1498194	1,1254545	1,4644595	1,3515625	0,98536587	1,8907564	0,71553224	0,44752476	0,21456955	0,57106274	0,23684211	0,46727553	0,67636365	0,49489054	0,54285717	0,6470588	0,8333334
1031_at	SRPK1	U09564	0,10830324	0,3490909	0,08373905	0,1015625	0,13902438	0,13235295	0	0,14653465	0,09271523	0,09475032	0,032894738	0,053272452	0,025454544	0,097810216	0,11428572	0,058823526	0
1032_at	IL8RB	U11872	0,51263535	0,5345454	0,72638756	0,5605469	0,69756097	0,76050425	0,3420593	0,5683168	0,65827817	0,57106274	1,0427632	0,8797565	1,1818181	0,7459854	0,71428573	0,58823526	0,61111116
1033_g_at	IL8RB	U11872	0,28519854	0,32181817	0,06037001	0,27539062	0,29268292	0,21638657	0,5200697	0,029702969	0,034437086	0,37131882	0,08552632	0,01369863	0,1490909	0	0	0	0
1034_at	TIMP3	U14394	1,8646208	2,0054545	1,7176242	1,7910156	2,22439	1,4852941	2,279232	1,1881188	0,57483447	1,2983356	0,73355263	0,63318115	1,88	0,72700727	1,5142858	1,1176469	1
1035_g_at	TIMP3	U14394	5,01083	5,6745453	3,8111002	4,513672	3,907317	4,004202	5,0959854	2,7920792	3,2913907	3,403329	3,7532895	2,3348553	4,2836366	3,630657	4,914286	2,0588233	3,1666667
1036_at	IL15	U14407	0	0,030909091	0	0,08203125	0	0,04411765	0,02792321	0	0	0	0,077302635	0	0	0	0	0	0,05555556
1037_at	BAGE	U19180	0	0	0	0	0	0	0	0	0,060927153	0	0	0	0,10909091	0	0	0	0
1038_s_at	interferon-gamma receptor alpha chain gene	U19247	0,18231046	0,6818182	0,6407011	0,45703125	0,51707315	0,3970588	0,11867364	0,025742574	0,01986755	0,21766965	0	0,02283105	0,32363635	0	0	0,29411763	0,7777778
1039_s_at	HIF-1 alpha	U22431	0,83393496	0,8981818	1,3495619	0,7207031	0,8390244	1,2626051	0,78883064	0,44752476	0,39072847	0,48399487	0,38980266	0,98934555	0,6581818	1,0248175	0,2857143	0,99999994	1,2222223
103_at	THBS4	Z19585	0,400722	0,10727273	0,13631938	0,068359375	0	0,39915967	0,06631762	0	0,13642384	0,4737516	0,14144738	0,3059361	0,101818174	0	0	0,2352941	0,05555556
1040_s_at	Abi-2	U23435	0,08303248	0,1490909	0,2570594	0	0	0,065126054	0	0	0	0,017925736	0,09375	0,21308981	0	0	0	0,058823526	0
1041_at	EPLG7	U26403	0,30505413	0,14363636	0,3446933	0,18945312	0,17560974	0	0	0,15247524	0,16026491	0,069142126	0,3157895	0,053272452	0,11636364	0	0	0	0
1042_at	TIG1	U27185	0,27978337	0,061818182	0,5530672	0,26367188	0,22682926	0,11764706	0,17102966	0,2970297	0,05165563	0,3047375	0	0,024353122	0,07636363	0,010218978	0,48571432	0	0,11111112
1043_s_at	RAD52	U27516	0	0	0	0	0,026829269	0,014705882	0,17801045	0,011881189	0	0	0	0,059360735	0	0	0	0,058823526	0
1044_s_at	E2F5	U31556	0,34657037	0,31636363	0,28432328	0,28320312	0,23902439	0,23109244	0,15357766	0,33663365	0,087417215	0,08962868	0,2944079	0,11872147	0,15636364	0,33138686	0,31428573	0,29411763	0,3888889
1045_s_at	RELA	U33838	0,05415162	0	0	0,0390625	0	0	0	0	0	0	0	0	0	0	0	0	0
1046_at	RI58	U34605	0,25270757	0,3363636	0,21421617	0,27734375	0,07804878	0,19957983	0,31064567	0,33069307	0,13774835	0,1715749	0,16611843	0,15525115	0,12727273	0,28613138	0,11428572	0,058823526	0,2777778
1047_s_at	"MST1; MSP; HGFL; NF15S2; D3F15S2; DNF15S2"	U37055	0,11913356	0,22727272	0,26095423	0,2578125	0	0	0,5549738	0	0,33774835	0	0	0,26331812	0	0,23357664	0,2	0,058823526	0,05555556
1048_at	RXRG	U38480	0,14801443	0,17272727	0,09347615	0,19140625	0,16341463	0	0	0	0	0,15108836	0,077302635	0,08675799	0,23272727	0,11678832	0	0	0,05555556
1049_g_at	RXRG	U38480	0,04873646	0	0	0	0	0,081932776	0,013961605	0	0,30596027	0	0	0	0	0,27737227	0,05714286	0,29411763	0,22222224
104_at	POU6F1	Z21966	0,30505413	0,2763636	0,2083739	0,32421875	0,34878048	0,25210086	0,052356016	0,31485146	0,11523178	0,03841229	0,1332237	0,25114155	0,27272725	0,16058394	0,17142859	0,11764705	0,11111112
1050_at	MART-1	U06452	0,003610108	0	0	0	0	0,031512607	0,062827215	0	0	0,007682459	0,029605264	0,012176561	0	0,020437956	0,02857143	0,058823526	0
1051_g_at	MART-1	U06452	0,22382669	0,33454543	0,14216164	0,1640625	0,17560974	0,197479	0	0,03960396	0,07549669	0	0	0,024353122	0,34181815	0,14306569	0,02857143	0	0,05555556
1052_s_at	NF-IL6-beta	M83667	2,7924185	4,9090905	3,6533594	2,5273438	4,590244	10,071428	6,945898	6,071287	9,411921	4,8937263	2,9868424	4,5433793	1,5381818	3,1620438	9,028572	4,4117646	2,277778
1053_at	A1	M87338	0	0	0	0	0,012195122	0,10294118	0	0	0	0	0	0	0	0	0	0	0
1054_at	RFC4	M87339	0	0	0	0	0	0	0	0,029702969	0	0	0	0	0	0	0	0	0
1055_g_at	RFC4	M87339	0,2039711	0,2690909	0,19863681	0,17578125	0,38780487	0,2079832	0	0,035643563	0	0,16389245	0,08881579	0,036529683	0,09454545	0,10072993	0	0,17647058	0,33333337
1056_s_at	IL16	M90391	0	0,04181818	0	0	0,11951219	0,10504202	0,03490401	0,047524754	0	0,16645327	0	0,024353122	0	0,05109489	0	0,058823526	0,05555556
1057_at	CRABP-II	M97815	0,16425993	0	0,2259007	0,05859375	0,11219511	0	0,07678883	0	0,014569537	0,10243278	0	0	0,27999997	0	0	0	0,11111112
1058_at	Brush-1	S69790	0,14259927	0,049090907	0,037000973	0	0,22926827	0	0,010471203	0,015841585	0,11390729	0	0,07401316	0,051750384	0	0,14744526	0,05714286	0,058823526	0
1059_at	trkC	S76475	0,12635379	0,047272723	0,06037001	0,03515625	0	0,22058824	0,2582897	0,087128714	0	0,00256082	0,044407897	0,01369863	0,087272726	0,010218978	0	0	0
105_at	NR1I3	Z30425	0	0,10727273	0,19279455	0,048828125	0	0,09453782	0,017452005	0,16435644	0	0	0	0,12633182	0,123636365	0	0	0	0,05555556
1060_g_at	trkC	S76475	0,2743682	0,11272726	0,23369037	0,37890625	0,18780486	0,22268909	0,3176265	0,2891089	0,17350994	0,43277848	0,37664473	0,23287672	0,29090908	0,459854	0,42857146	0,11764705	0,44444448
1061_at	IL10RA	U00672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1062_g_at	IL10RA	U00672	0,19314077	0	0,18305744	0,078125	0,25853658	0,32563025	0,24781847	0	0,8331126	0,49679896	0,108552635	0,10502284	0,101818174	0,13430656	0,085714296	0	0
1063_s_at	TYRO3	U02566	0,00902527	0	0	0	0	0,042016808	0	0	0	0	0	0	0	0	0	0	0
1064_at	PTK9	U02680	0,111913346	0,05636363	0,20253165	0,13867188	0,14634146	0	0,101221636	0	0	0,010243278	0,03782895	0,041095894	0	0,09343066	0	0,058823526	0,11111112
1065_at	FLT3	U02687	0,10469314	0,05818182	0,16358325	0,0703125	0,13414633	0	0,07678883	0,11287128	0,050331127	0,32266328	0,11019737	0,22070016	0	0,02189781	0,02857143	0,058823526	0,05555556
1066_at	IL12RB1	U03187	0,03971119	0,007272727	0	0	0,0902439	0	0,013961605	0,003960396	0,34834436	0	0,12335527	0,066971086	0	0,2	0,2	0,17647058	0,2777778
1067_at	FLT3LG	U03858	0,93682307	0,61999995	0,4712756	0,033203125	0	0,012605043	0	0	0,23311259	0	0	0,21613395	0,10909091	0	0	0	0
1068_g_at	FLT3LG	U03858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069_at	hCox-2	U04636	0	0,06727272	0	0	0,09268292	0	0,06980802	0	0,018543046	0	0	0	0	0	0,05714286	0	0
106_at	PEBP2aC1	Z35278	0,1570397	0	0,1772152	0	0	0,20168069	0,048865613	0,2752475	0,18013245	0,064020485	0	0	0	0	0	0	0
1070_at	TFIIB	M76766	0,07400721	0,17090908	0,095423564	0,00390625	0,21463415	0	0	0	0,01986755	0	0,12171053	0,100456625	0,014545455	0	0	0,11764705	0
1071_at	GATA-2	M77810	0	0	0	0	0	0	0	0	0	0	0,12335527	0	0	0	0	0	0
1072_g_at	GATA-2	M77810	1,2833934	1,0763636	0,9113924	1,0214844	0,70487803	0,18487395	1,4589876	1,4851485	1,5483444	0,6299616	2,8273027	1,9238966	1,7236364	1,5138686	1,3428571	1,4117646	1,2222223
1073_at	transcription elongation factor SII	M81601	0,5703971	0,7618182	0,7692308	0,6503906	1,0731707	0,9411765	0,54450256	0	0,1615894	0,63764405	0,27631578	0,24048707	0,86909086	0,30364963	0,085714296	0,29411763	0,5
1074_at	RAB1	M28209	0	0	0,027263876	0,1015625	0,19756098	0	0,041884813	0	0	0,1049936	0,003289474	0	0,16727272	0	0	0	0,05555556
1075_f_at	IFNA16	M28585	0	0	0,031158715	0	0,11219511	0	0,08027922	0	0	0	0	0	0	0	0	0	0
1076_at	IL1	M28983	0,2075812	0,16727272	0,101265825	0,25585938	0,24634147	0,46218488	0,05933682	0,18415841	0,13245033	0,50192064	0,20559211	0,12633182	0,23636363	0,17372262	0,31428573	0,29411763	0,22222224
1077_at	RAG1	M29474	0	0	0,031158715	0,005859375	0,07804878	0	0	0	0,06490067	0	0,009868422	0	0	0	0	0	0
1078_at	PRLR	M31661	0	0	0	0	0	0	0,052356016	0,12277227	0	0	0	0	0	0	0	0	0
1079_g_at	PRLR	M31661	0,11552346	0,016363636	0	0,15234375	0	0,2289916	0,003490401	0,25742573	0	0,25096032	0	0	0	0	0	0	0,05555556
107_at	"LOC286526; RAR2"	Z95624	0	0,018181818	0	0	0	0,25840336	0	0	0	0	0	0	0	0	0	0	0
1080_s_at	CYP1A2	M31667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1081_at	ODC1	M33764	0,30866423	0,20727271	0,20253165	0,10546875	0,30487803	0,31932774	1,0610819	0,7168317	0	0,4071703	0	0	0	0	0,25714287	0	0,05555556
1082_at	PLCG1	M34667	0,005415162	0,012727272	0,06815969	0,1796875	0	0	0	0,035643563	0	0,053777207	0,003289474	0	0,050909087	0,03941606	0	0,058823526	0,05555556
1083_s_at	MUC1	M35093	0	0,20181818	0,35248297	0	0,3219512	0,40756303	0	0,52871287	0,18940398	0,33290654	0,16776316	0,15068494	0,43636364	0,17664234	0,2857143	0,11764705	0,11111112
1084_at	ABL2	M35296	0,046931405	0,02	0,025316456	0,01953125	0	0	0	0	0	0	0	0	0	0	0	0	0
1085_s_at	PLC1	M37238	0,333935	0,46909088	0,60564756	0,29101562	0,78292674	0,6155462	0,58638734	0,77425736	0,6357616	0,7912932	0,36677632	0,7929985	0,58909094	0,7941606	0,6571429	0,35294116	0,3888889
1086_at	CSF2RB	M59941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1087_at	EPOR	M60459	0,064981945	0	0	0	0	0	0	0	0	0	0	0,009132421	0	0	0	0	0
1088_at	BDNF	M61176	0	0	0	0	0,10487805	0,008403362	0	0,055445544	0	0	0	0	0,11272726	0	0	0,058823526	0,11111112
1089_i_at		M64936	0,71299636	0,33818182	0,5744888	0,4453125	0	0,13445379	0,6736474	0,32871288	0	0,39180538	0,57401323	0	0	0	0,6	0,11764705	0
108_g_at	"LOC286526; RAR2"	Z95624	0	0	0	0	0	0	0,06631762	0	0	0	0,016447369	0,08828007	0	0	0	0	0
1090_f_at		M64936	0,5379061	0,43454543	0,1674781	0,74609375	0,7707317	0,1764706	0,7260034	0,4990099	0,28211918	0,7016645	0,3700658	0,5357687	0,36727273	0,30072993	0,48571432	0,17647058	0,44444448
1091_at	PRKAR1B	M65066	1,3303248	1,510909	1,2502434	1,1132812	1,4878048	1,8172269	1,3123908	0,6495049	0,9350993	2,6453266	1,1842105	1,585997	2,2	1,2321168	0,97142863	1,2941176	1,1666666
1092_at	EDN2	M65199	0	0	0	0	0	0	0	0	0	0	0	0,10197869	0	0	0	0	0
1093_at	SNRPEP1	M65254	0	0,090909086	0	0,18554688	0,043902434	0,016806724	0	0	0	0,005121639	0,034539472	0	0	0,016058395	0	0	0,05555556
1094_g_at	SNRPEP1	M65254	0	0	0,07010711	0	0,13170731	0	0	0,13069306	0	0	0	0	0	0	0	0	0
1095_s_at	HGF	M73239	0,03610108	0,014545455	0	0	0,065853655	0,033613447	0	0	0	0,058898848	0	0	0,010909091	0	0	0	0,05555556
1096_g_at	cell surface protein CD19	M28170	0,801444	0,55636364	0,89581305	0,50390625	0,4829268	0,61764705	0,49563694	0,25742573	0,5205298	0,6888604	0,9539474	1,2161341	0,58909094	0,49343064	0,4571429	0,11764705	0,11111112
1097_s_at	EBI 1	L31584	0,33032486	0,6527273	0,47711784	0,38085938	0,37560973	0,4159664	0,017452005	0,057425745	0,34701988	0,29449424	0,3026316	0,3211568	0,4181818	0,20875913	0	0,058823526	0,05555556
1098_at	"THPO; TPO; MGDF; MKCSF; MPLLG"	L36051	0	0,047272723	0,066212274	0,02734375	0	0	0,19895285	0	0,005298013	0,028169015	0	0	0	0,020437956	0	0	0
1099_s_at	GSTT2	L38503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109_at	p40	Z97074	0,5469313	0,36909088	0,5141188	0,6113281	0,68048775	0,6827731	0,3734729	0,16237622	0,15496689	0,70422536	0,31743422	0	0,45090905	0,17226277	0,25714287	0,4705882	0,5
1100_at	IRAK1	L76191	0,19855595	0,4490909	0,37974685	0,5175781	0,11707317	0,17436975	0,6561954	0,54653466	0,8331126	0,43790016	0,7121711	0,47488588	0,21818182	0,27737227	0,22857144	0,11764705	0,5555556
1101_at	Fe65	L77864	1,4422382	1,290909	1,8948394	1,03125	1,3	1,2142857	0,48167536	0,8970297	2,1827815	1,4238156	1,7351974	1,6118722	0,3490909	1,6496351	1,8571429	1,5294117	1,388889
1102_s_at	GRL	M10901	0,27256316	0,22363636	0,24148004	0,25976562	0,3609756	0,25	0	0	0,17086092	0,11267606	0,16118422	0,20395738	0,03272727	0,035036497	0,2	0,29411763	0,16666669
1103_at	ANG	M11567	0	0	0	0	0	0,12184875	0	0	0,00397351	0	0,029605264	0,033485543	0	0	0	0	0
1104_s_at	HSPA1L	M11717	0,04512635	0,23090908	0,35248297	0	0,5609756	0,24579832	0	0	0	0,09731114	0	0	0,007272727	0	0	0	0
1105_s_at	TCRB	M12886	1,0469314	0,71636367	0,6251217	0,75390625	0,84878045	1,6197479	1,1623036	0,71881187	1,234437	2,7426376	0,73355263	0,60273975	0,45818183	0,41021898	0,37142858	0,29411763	0,3888889
1106_s_at	TCRA	M12959	0,86642593	0,64363635	0,57059395	0,7480469	0,7365854	0,44327733	0,9633507	0,9386139	0,59735096	0,97055066	0,93421054	0,5555556	0,44727272	0,5635036	1,4000001	0,9411764	0,88888896
1107_s_at	G1P2	M13755	1,5938628	2,3490908	1,020448	0,97265625	2,9512193	2,4936974	1,6439788	0,6059406	5,460927	2,4404612	1,694079	1,2039574	2,4836364	3,9021895	1,1714286	1,1764705	0,8333334
1108_s_at	EPHA1	M18391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109_s_at	PDGFA	M19989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110_at	CSPG4	X96753	1,0974728	1,0781817	1,0613438	1,0761719	2,2536585	1,8151262	0,6736474	0,44158414	0,54039735	4,7912936	1,4703948	0,42313546	2,32	0,73722625	0,71428573	0,17647058	1
1110_at	TCRD	M21624	0,46209383	0,2672727	0,27848104	0,234375	0,18780486	0,35714287	0,20942406	0,21980198	0,39205298	0,6171575	0,5328948	0,7138509	0,33454543	0,2978102	0,14285715	0,35294116	0,22222224
1111_at	NCAM	M22092	0,22563176	0,3109091	0,19474196	0,8261719	0	0	0,3979057	0	0	0,6299616	0,6332237	0,7199391	0,5381818	0	0	0,41176468	0
1112_g_at	NCAM	M22092	0,18953067	0,15818182	0,30963972	0,20507812	0,5707317	0,10714286	0,12216404	0,13267326	0,3629139	0,50192064	0,1694079	0,44901067	0,16363636	0,35474452	0	0,11764705	0,22222224
1113_at	BMP2	M22489	0	0	0	0	0	0	0,06980802	0	0	0	0	0	0	0	0	0	0
1114_at	BMP2	M22490	0,21119131	0,13272727	0	0,13867188	0,12926829	0,15966387	0,21989527	0	0,33907285	0	0	0,028919332	0	0,06423358	0	0,11764705	0,11111112
1115_at	PF4	M25897	0,037906133	0,17636363	0,29016554	0,13476562	0,114634134	0,084033616	0	0	0,09403973	0,1049936	0,0625	0,051750384	0,22181816	0,05839416	0	0,17647058	0,11111112
1116_at	cell surface protein CD19	M28170	0,6516245	0,5672727	1,1236612	0,9433594	0,69024384	1,289916	0,6841186	0,30495048	0,21986756	0,44558257	0,6184211	0,82800615	0,75272727	0,78248173	0,085714296	0,99999994	0,7222222
1117_at	CDA	L27943	1,2978339	1,1272727	1,0243428	1,3183594	1,4829267	1,1281513	1,0226874	0,7405941	1,1986755	1,3700384	1,34375	1,3972604	1,0581818	0,88029194	0,51428574	0,76470584	0,5
1118_at	PTGER4	L28175	0	0	0,038948394	0,048828125	0	0	0,07329842	0,037623763	0,13509934	0,05633803	0	0,14459665	0,018181818	0,13138686	0,02857143	0	0
1119_at	RPA2	J05249	0,59566784	0,78181815	0,48685494	0,5371094	0,9317073	0,97479	0,7294938	0,4811881	0,3231788	1,5851473	0,49342108	0,8340944	1,0981818	0,740146	0,14285715	0,29411763	0,2777778
111_at	RABGGTA	Y08200	0,06859205	0,11454546	0	0,18554688	0,13902438	0,063025214	0,09424083	0	0,095364235	0,21766965	0,039473686	0,1826484	0,014545455	0,18686132	0	0	0
1120_at	GSTM3	J05459	0,9079422	0,71272725	0,74391437	0,6269531	0	0,6239496	0,7958114	0,13465346	1,6847682	0,6171575	0,5246711	1,1019788	0,42545453	1,4116788	1,2285715	2,117647	1
1121_g_at	GSTM3	J05459	0,4783393	0,44545454	0,35053554	0,34570312	0,77560973	0,5189076	0,43979055	0	0,25695363	0,16901408	0,41282898	0,08219179	0,27999997	0,099270076	0	0,2352941	0,5
1122_f_at	CGB	K03183	1,6173284	1,2509091	1,1723467	1,1484375	1,7609755	1,5126051	1,4240836	0,7782178	0,53377485	2,8476312	1,4490132	1,8493152	2,0072727	0,7970803	0,34285718	0,82352936	0,7777778
1123_at	GHRHR	L01406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1124_at	MLL	L04731	0,33032486	0,35636362	0,5608569	0,5	0,11219511	0,5084034	0	0,14059405	0,21192053	0,40204865	0,23519738	0,015220701	0,5454545	0,10218978	0,2	0	0
1125_s_at	CD44	L05424	0,25631768	0,28545454	0,15189874	0,23242188	0,13902438	0	0,41186732	0,059405938	0,30066225	0,14596671	0,20230263	0,30745816	0,10909091	0,15912408	0,02857143	0,058823526	0,05555556
1126_s_at		L05424	0,04151624	0	0	0,119140625	0,029268293	0,17226891	0,15706804	0,13861386	0,17748344	0,39948785	0,18914475	0,059360735	0,098181814	0,03211679	0,085714296	0,058823526	0,05555556
1127_at	RPS6KA1	L07597	0,38628155	0	0,009737099	0,25585938	0	0,3907563	0	0,22376238	0,63311255	0,21254802	0,38980266	0	0	0,04379562	0,2857143	0,058823526	0
1128_s_at	CMKR-1	L09230	0,36281586	0,32545453	0,35053554	0,48046875	0,5560975	0,36764708	0,43630013	0	0,7443709	0,5505762	0,6957237	0,8964993	0,2690909	0,34306568	0	0,41176468	0,44444448
1129_at	GBX1	L11239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112_g_at	CCG1	X07024	0,11732851	0,11272726	0,06426485	0	0,14878048	0,2436975	0,3350785	0,21386139	0,27284768	0	0,11513159	0,1628615	0,014545455	0,099270076	0,14285715	0,11764705	0,11111112
1130_at	MAP2K1	L11284	0,81046927	0,6927272	0,3836417	0,7558594	1,0658536	0,91386557	0,8830714	0,21782178	0,22384106	0,6043534	0,68421054	0,5692542	0,58181816	0,04087591	0	0,2352941	0,33333337
1131_at	MAP2K2	L11285	1,6227436	1,4654545	2,1324246	0,9824219	0,94390243	3,2668068	3,0331585	2,079208	3,9456952	3,9641488	1,0608553	2,7701676	3,9381819	2,2043796	1,6285714	1,1176469	0,7777778
1132_s_at	RARG	L12060	1,33213	1,3618182	1,164557	0,69921875	1,0853658	0,7962185	0,652705	0,8019802	0,87682116	1,6005121	1,5032896	0,8143075	1,7709091	0,8029197	0,8285715	0,9411764	0,88888896
1133_at	EN2	L12701	0,1498195	0	0	0,09375	0	0	0,18150085	0	0,18543047	0	0,060855266	0	0	0	0	0	0
