# Input,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
c1qb,"1,2,5,6-dibenzanthracene",C026486,53-70-3,C1QB,713,Mus musculus,10090,"1,2,5,6-dibenzanthracene results in decreased expression of C1QB mRNA",decreases^expression,26377693
c1qb,Amitrole,D000640,61-82-5,C1QB,713,Rattus norvegicus,10116,Amitrole results in increased expression of C1QB mRNA,increases^expression,30047161
c1qb,Ammonium Chloride,D000643,12125-02-9,C1QB,713,Rattus norvegicus,10116,Ammonium Chloride affects the expression of C1QB mRNA,affects^expression,16483693
c1qb,"amphotericin B, deoxycholate drug combination",C059765,87687-70-5,C1QB,713,Mus musculus,10090,"amphotericin B, deoxycholate drug combination results in increased expression of C1QB mRNA",increases^expression,22863853
c1qb,"Antigens, Dermatophagoides",D039741,,C1QB,713,Mus musculus,10090,"[Particulate Matter co-treated with Antigens, Dermatophagoides] results in increased expression of C1QB mRNA",affects^cotreatment|increases^expression,34051097
c1qb,Antirheumatic Agents,D018501,,C1QB,713,Homo sapiens,9606,Antirheumatic Agents results in decreased expression of C1QB mRNA,decreases^expression,24449571
c1qb,Arbutin,D001104,497-76-7,C1QB,713,Homo sapiens,9606,Arbutin results in decreased expression of C1QB mRNA,decreases^expression,17103032
c1qb,Arsenic Trioxide,D000077237,1327-53-3,C1QB,713,Homo sapiens,9606,Arsenic Trioxide results in increased expression of C1QB mRNA,increases^expression,19128835
c1qb,Aza Compounds,D001372,,C1QB,713,Rattus norvegicus,10116,Aza Compounds results in decreased expression of C1QB mRNA,decreases^expression,20521778
c1qb,Aza Compounds,D001372,,C1QB,713,Rattus norvegicus,10116,Aza Compounds results in increased expression of C1QB mRNA,increases^expression,20521778
c1qb,AZM551248,C547126,,C1QB,713,Canis lupus familiaris,9615,AZM551248 results in increased expression of C1QB mRNA,increases^expression,22323515
c1qb,Azoxymethane,D001397,25843-45-2,C1QB,713,Mus musculus,10090,[titanium dioxide co-treated with Azoxymethane co-treated with Dextran Sulfate] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,29950665
c1qb,Benzo(a)pyrene,D001564,50-32-8,C1QB,713,Homo sapiens,9606,Benzo(a)pyrene affects the methylation of C1QB promoter,affects^methylation,27901495
c1qb,Benzo(a)pyrene,D001564,50-32-8,C1QB,713,Homo sapiens,9606,Benzo(a)pyrene results in increased methylation of C1QB 3' UTR,increases^methylation,27901495
c1qb,Benzo(a)pyrene,D001564,50-32-8,C1QB,713,Mus musculus,10090,AHR protein affects the reaction [Benzo(a)pyrene affects the expression of C1QB mRNA],affects^expression|affects^reaction,22228805
c1qb,Benzo(a)pyrene,D001564,50-32-8,C1QB,713,Mus musculus,10090,Benzo(a)pyrene results in decreased expression of C1QB mRNA,decreases^expression,19770486
c1qb,Benzo(a)pyrene,D001564,50-32-8,C1QB,713,Mus musculus,10090,Benzo(a)pyrene results in increased expression of C1QB mRNA,increases^expression,22228805
c1qb,benzyloxycarbonylleucyl-leucyl-leucine aldehyde,C072553,,C1QB,713,Mus musculus,10090,benzyloxycarbonylleucyl-leucyl-leucine aldehyde results in decreased expression of C1QB mRNA,decreases^expression,25566086
c1qb,benzyloxycarbonylleucyl-leucyl-leucine aldehyde,C072553,,C1QB,713,Mus musculus,10090,MYBPC3 protein affects the reaction [benzyloxycarbonylleucyl-leucyl-leucine aldehyde results in decreased expression of C1QB mRNA],affects^reaction|decreases^expression,25566086
c1qb,Bexarotene,D000077610,,C1QB,713,Rattus norvegicus,10116,[Bexarotene co-treated with Tamoxifen] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,17630414
c1qb,Bexarotene,D000077610,,C1QB,713,Rattus norvegicus,10116,Bexarotene results in increased expression of C1QB mRNA,increases^expression,16648578
c1qb,bis(4-hydroxyphenyl)sulfone,C543008,80-09-1,C1QB,713,Mus musculus,10090,bis(4-hydroxyphenyl)sulfone results in increased expression of C1QB mRNA,increases^expression,30951980
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Danio rerio,7955,bisphenol A affects the expression of C1QB mRNA,affects^expression,21786754
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Mus musculus,10090,bisphenol A results in decreased expression of C1QB mRNA,decreases^expression,25594700
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Mus musculus,10090,bisphenol A results in decreased methylation of C1QB promoter,decreases^methylation,27312807
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Pimephales promelas,90988,bisphenol A affects the expression of C1QB mRNA,affects^expression,21786754
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Rattus norvegicus,10116,bisphenol A affects the expression of C1QB mRNA,affects^expression,32145629
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Rattus norvegicus,10116,bisphenol A results in decreased expression of C1QB mRNA,decreases^expression,25181051
c1qb,bisphenol A,C006780,80-05-7,C1QB,713,Rattus norvegicus,10116,bisphenol A results in increased expression of C1QB mRNA,increases^expression,30816183|32528016
c1qb,bisphenol F,C000611646,,C1QB,713,Mus musculus,10090,bisphenol F results in increased expression of C1QB mRNA,increases^expression,30951980
c1qb,Bleomycin,D001761,11056-06-7,C1QB,713,Mus musculus,10090,Bleomycin results in increased expression of C1QB mRNA,increases^expression,26345256
c1qb,Blood Glucose,D001786,,C1QB,713,Mus musculus,10090,"[N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride co-treated with [Oxygen deficiency co-treated with Blood Glucose deficiency]] results in increased expression of C1QB mRNA",affects^cotreatment|increases^expression,19640911
c1qb,Buspirone,D002065,36505-84-7,C1QB,713,Rattus norvegicus,10116,Buspirone results in decreased expression of C1QB mRNA,decreases^expression,24136188
c1qb,Cadmium,D002104,7440-43-9,C1QB,713,Homo sapiens,9606,C1QB protein binds to Cadmium,affects^binding,23896426
c1qb,Cadmium Chloride,D019256,10108-64-2,C1QB,713,Rattus norvegicus,10116,Cadmium Chloride results in decreased expression of C1QB mRNA,decreases^expression,25993096|33453195
c1qb,Cadmium Chloride,D019256,10108-64-2,C1QB,713,Rattus norvegicus,10116,Cadmium Chloride results in decreased methylation of C1QB promoter,decreases^methylation,22457795
c1qb,Calcitriol,D002117,32222-06-3,C1QB,713,Homo sapiens,9606,Calcitriol results in decreased expression of C1QB mRNA,decreases^expression,26485663
c1qb,Captan,D002215,133-06-2,C1QB,713,Mus musculus,10090,Captan results in decreased expression of C1QB mRNA,decreases^expression,31558096
c1qb,Carbon Tetrachloride,D002251,56-23-5,C1QB,713,Mus musculus,10090,Carbon Tetrachloride results in increased expression of C1QB mRNA,increases^expression,27339419|29987408|31919559
c1qb,carbonyl sulfide,C010063,463-58-1,C1QB,713,Rattus norvegicus,10116,carbonyl sulfide results in increased expression of C1QB mRNA,increases^expression,19395590
c1qb,Cellulose,D002482,9004-34-6,C1QB,713,Mus musculus,10090,[perfluorooctane sulfonic acid co-treated with Cellulose] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,36331819
c1qb,Cholic Acids,D002793,,C1QB,713,Homo sapiens,9606,[1-Naphthylisothiocyanate co-treated with Cholic Acids] affects the expression of C1QB mRNA,affects^cotreatment|affects^expression,27344345
c1qb,Cholic Acids,D002793,,C1QB,713,Homo sapiens,9606,[Cyclosporine co-treated with Cholic Acids] affects the expression of C1QB mRNA,affects^cotreatment|affects^expression,27344345
c1qb,Choline,D002794,62-49-7,C1QB,713,Mus musculus,10090,[Dietary Fats co-treated with Choline deficiency] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,29246445
c1qb,Choline,D002794,62-49-7,C1QB,713,Mus musculus,10090,[Methionine deficiency co-treated with Choline deficiency co-treated with Folic Acid deficiency] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,20938992
c1qb,Choline,D002794,62-49-7,C1QB,713,Mus musculus,10090,PANX1 gene mutant form inhibits the reaction [[Dietary Fats co-treated with Choline deficiency] results in increased expression of C1QB mRNA],affects^cotreatment|decreases^reaction|increases^expression,29246445
c1qb,CI 1044,C418118,,C1QB,713,Rattus norvegicus,10116,CI 1044 results in increased expression of C1QB mRNA,increases^expression,17569694
c1qb,Clofibrate,D002994,637-07-0,C1QB,713,Mus musculus,10090,Clofibrate results in decreased expression of C1QB mRNA,decreases^expression,23811191
c1qb,Cuprizone,D003471,370-81-0,C1QB,713,Rattus norvegicus,10116,Cuprizone results in increased expression of C1QB mRNA,increases^expression,27523638
c1qb,Curcumin,D003474,458-37-7,C1QB,713,Mus musculus,10090,Curcumin inhibits the reaction [Trinitrobenzenesulfonic Acid results in increased expression of C1QB mRNA],decreases^reaction|increases^expression,18200517
c1qb,cyanoginosin LR,C057862,,C1QB,713,Lithobates catesbeianus,8400,cyanoginosin LR results in increased expression of C1QB mRNA,increases^expression,34863901
c1qb,cyclonite,C009160,121-82-4,C1QB,713,Rattus norvegicus,10116,cyclonite results in increased expression of C1QB mRNA,increases^expression,25559034
c1qb,Cyclosporine,D016572,59865-13-3,C1QB,713,Homo sapiens,9606,[Cyclosporine co-treated with Cholic Acids] affects the expression of C1QB mRNA,affects^cotreatment|affects^expression,27344345
c1qb,Cyclosporine,D016572,59865-13-3,C1QB,713,Rattus norvegicus,10116,Cyclosporine results in increased expression of C1QB mRNA,increases^expression,21865292
c1qb,decamethrin,C017180,52820-00-5,C1QB,713,Mus musculus,10090,decamethrin results in increased expression of C1QB mRNA,increases^expression,37019170
c1qb,Dextran Sulfate,D016264,9042-14-2,C1QB,713,Mus musculus,10090,[titanium dioxide co-treated with Azoxymethane co-treated with Dextran Sulfate] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,29950665
c1qb,Diclofenac,D004008,15307-86-5,C1QB,713,Mus musculus,10090,Diclofenac results in increased expression of C1QB mRNA,increases^expression,26934552
c1qb,Dietary Fats,D004041,,C1QB,713,Mus musculus,10090,[Dietary Fats co-treated with Choline deficiency] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,29246445
c1qb,Dietary Fats,D004041,,C1QB,713,Mus musculus,10090,Dietary Fats results in decreased expression of C1QB mRNA,decreases^expression,18042831
c1qb,Dietary Fats,D004041,,C1QB,713,Mus musculus,10090,Dietary Fats results in increased expression of C1QB mRNA,increases^expression,22609946
c1qb,Dietary Fats,D004041,,C1QB,713,Mus musculus,10090,PANX1 gene mutant form inhibits the reaction [[Dietary Fats co-treated with Choline deficiency] results in increased expression of C1QB mRNA],affects^cotreatment|decreases^reaction|increases^expression,29246445
c1qb,Diethylnitrosamine,D004052,55-18-5,C1QB,713,Rattus norvegicus,10116,[Diethylnitrosamine co-treated with Thioacetamide] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,28943392
c1qb,diisodecyl phthalate,C042080,26761-40-0,C1QB,713,Mus musculus,10090,diisodecyl phthalate results in increased expression of C1QB mRNA,increases^expression,25270620
c1qb,Dimethylnitrosamine,D004128,62-75-9,C1QB,713,Rattus norvegicus,10116,Dimethylnitrosamine results in increased expression of C1QB mRNA,increases^expression,25380136
c1qb,Diuron,D004237,330-54-1,C1QB,713,Rattus norvegicus,10116,Diuron results in decreased expression of C1QB mRNA,decreases^expression,25152437
c1qb,doramapimod,C452139,,C1QB,713,Mus musculus,10090,doramapimod results in decreased expression of C1QB mRNA,decreases^expression,21328587
c1qb,Doxorubicin,D004317,23214-92-8,C1QB,713,Rattus norvegicus,10116,Doxorubicin results in increased expression of C1QB mRNA,increases^expression,32289291
c1qb,Endosulfan,D004726,115-29-7,C1QB,713,Rattus norvegicus,10116,Endosulfan results in decreased expression of C1QB mRNA,decreases^expression,29391264
c1qb,Estradiol,D004958,50-28-2,C1QB,713,Mus musculus,10090,Estradiol affects the expression of C1QB mRNA,affects^expression,15598610
c1qb,Estradiol,D004958,50-28-2,C1QB,713,Mus musculus,10090,Estradiol results in increased expression of C1QB mRNA,increases^expression,19484750
c1qb,Estradiol,D004958,50-28-2,C1QB,713,Rattus norvegicus,10116,[estradiol 3-benzoate co-treated with [Testosterone co-treated with Estradiol]] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,32741896
c1qb,estradiol 3-benzoate,C074283,50-50-0,C1QB,713,Rattus norvegicus,10116,[estradiol 3-benzoate co-treated with [Testosterone co-treated with Estradiol]] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,32741896
c1qb,Ethanol,D000431,64-17-5,C1QB,713,Mus musculus,10090,Ethanol results in increased expression of C1QB mRNA,increases^expression,30319688
c1qb,Ethanol,D000431,64-17-5,C1QB,713,Rattus norvegicus,10116,Ethanol results in decreased expression of C1QB mRNA,decreases^expression,17920746
c1qb,Ethinyl Estradiol,D004997,57-63-6,C1QB,713,Mus musculus,10090,[Ethinyl Estradiol co-treated with IL1B protein] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,12072388
c1qb,Ethinyl Estradiol,D004997,57-63-6,C1QB,713,Mus musculus,10090,Ethinyl Estradiol results in increased expression of C1QB mRNA,increases^expression,12072388
c1qb,Ethinyl Estradiol,D004997,57-63-6,C1QB,713,Mus musculus,10090,[Tetrachlorodibenzodioxin co-treated with Ethinyl Estradiol] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,17942748
c1qb,Ethinyl Estradiol,D004997,57-63-6,C1QB,713,Rattus norvegicus,10116,Ethinyl Estradiol results in increased expression of C1QB mRNA,increases^expression,15834898
c1qb,fipronil,C082360,120068-37-3,C1QB,713,Danio rerio,7955,fipronil results in decreased expression of C1QB mRNA,decreases^expression,32977147
c1qb,flusilazole,C061365,85509-19-9,C1QB,713,Danio rerio,7955,flusilazole results in decreased expression of C1QB mRNA,decreases^expression,22382673
c1qb,flusilazole,C061365,85509-19-9,C1QB,713,Danio rerio,7955,flusilazole results in increased expression of C1QB mRNA,increases^expression,22382673
c1qb,Flutamide,D005485,13311-84-7,C1QB,713,Rattus norvegicus,10116,Flutamide results in decreased expression of C1QB mRNA,decreases^expression,24136188
c1qb,Folic Acid,D005492,59-30-3,C1QB,713,Mus musculus,10090,"Folic Acid inhibits the reaction [1,2-Dimethylhydrazine results in increased expression of C1QB mRNA]",decreases^reaction|increases^expression,22206623
c1qb,Folic Acid,D005492,59-30-3,C1QB,713,Mus musculus,10090,[Methionine deficiency co-treated with Choline deficiency co-treated with Folic Acid deficiency] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,20938992
c1qb,folpet,C005020,133-07-3,C1QB,713,Mus musculus,10090,folpet results in decreased expression of C1QB mRNA,decreases^expression,31558096
c1qb,fumonisin B1,C056933,116355-83-0,C1QB,713,Mus musculus,10090,fumonisin B1 results in increased expression of C1QB mRNA,increases^expression,16221962
c1qb,Gentamicins,D005839,,C1QB,713,Rattus norvegicus,10116,Gentamicins results in increased expression of C1QB mRNA,increases^expression,21081137
c1qb,Ginkgo biloba extract,C063170,,C1QB,713,Mus musculus,10090,Ginkgo biloba extract results in decreased methylation of C1QB promoter,decreases^methylation,31278416
c1qb,Ginkgo biloba extract,C063170,,C1QB,713,Mus musculus,10090,Ginkgo biloba extract results in increased expression of C1QB mRNA,increases^expression,31278416
c1qb,glyphosate,C010974,1071-83-6,C1QB,713,Rattus norvegicus,10116,glyphosate results in increased expression of C1QB mRNA,increases^expression,26302742
c1qb,Hexachlorobenzene,D006581,118-74-1,C1QB,713,Rattus norvegicus,10116,Hexachlorobenzene results in increased expression of C1QB mRNA,increases^expression,15159207
c1qb,IMM 125,C082770,,C1QB,713,Rattus norvegicus,10116,IMM 125 results in increased expression of C1QB mRNA,increases^expression,21081137
c1qb,Indoles,D007211,,C1QB,713,Rattus norvegicus,10116,Indoles results in decreased expression of C1QB mRNA,decreases^expression,20521778
c1qb,Indoles,D007211,,C1QB,713,Rattus norvegicus,10116,Indoles results in increased expression of C1QB mRNA,increases^expression,20521778
c1qb,Ionomycin,D015759,56092-81-0,C1QB,713,Oryctolagus cuniculus,9986,[Tetradecanoylphorbol Acetate co-treated with Ionomycin] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,25613284
c1qb,Kainic Acid,D007608,487-79-6,C1QB,713,Mus musculus,10090,Kainic Acid results in increased expression of C1QB mRNA,increases^expression,17997037
c1qb,Ketamine,D007649,6740-88-1,C1QB,713,Rattus norvegicus,10116,Ketamine results in increased expression of C1QB mRNA,increases^expression,20080153
c1qb,"lipopolysaccharide, E coli O55-B5",C482199,,C1QB,713,Chloris chloris,37601,"lipopolysaccharide, E coli O55-B5 results in decreased expression of C1QB mRNA",decreases^expression,24972896
c1qb,"lipopolysaccharide, E coli O55-B5",C482199,,C1QB,713,Mus musculus,10090,"lipopolysaccharide, E coli O55-B5 results in increased expression of C1QB mRNA",increases^expression,23306164
c1qb,Lipopolysaccharides,D008070,,C1QB,713,Mus musculus,10090,Lipopolysaccharides results in increased expression of C1QB mRNA,increases^expression,27339419
c1qb,Medroxyprogesterone Acetate,D017258,71-58-9,C1QB,713,Homo sapiens,9606,Medroxyprogesterone Acetate results in increased expression of C1QB mRNA,increases^expression,20843944
c1qb,Methimazole,D008713,60-56-0,C1QB,713,Rattus norvegicus,10116,Methimazole results in increased expression of C1QB mRNA,increases^expression,30047161
c1qb,Methionine,D008715,63-68-3,C1QB,713,Mus musculus,10090,[Methionine deficiency co-treated with Choline deficiency co-treated with Folic Acid deficiency] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,20938992
c1qb,Methotrexate,D008727,59-05-2,C1QB,713,Homo sapiens,9606,Methotrexate results in decreased expression of C1QB mRNA,decreases^expression,17400583
c1qb,Methotrexate,D008727,59-05-2,C1QB,713,Mus musculus,10090,Methotrexate affects the expression of C1QB mRNA,affects^expression,18502557
c1qb,methylmercury cysteine,C030589,12628-19-2,C1QB,713,Mus musculus,10090,methylmercury cysteine results in decreased expression of C1QB mRNA,decreases^expression,19465457
c1qb,Methylnitronitrosoguanidine,D008769,70-25-7,C1QB,713,Rattus norvegicus,10116,Methylnitronitrosoguanidine results in increased expression of C1QB mRNA,increases^expression,15120970
c1qb,MM-589,C000621807,,C1QB,713,Mus musculus,10090,[IGF1 protein co-treated with MM-589 co-treated with A-83-01 co-treated with PTC-209] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,31023824
c1qb,monomethylpropion,C047806,5650-44-2,C1QB,713,Homo sapiens,9606,monomethylpropion results in increased expression of C1QB mRNA,increases^expression,22303338
c1qb,"Nanotubes, Carbon",D037742,,C1QB,713,Mus musculus,10090,"Nanotubes, Carbon analog results in increased expression of C1QB mRNA",increases^expression,25554681
c1qb,"Nanotubes, Carbon",D037742,,C1QB,713,Mus musculus,10090,"Nanotubes, Carbon results in increased expression of C1QB mRNA",increases^expression,25554681
c1qb,n-butoxyethanol,C017096,111-76-2,C1QB,713,Mus musculus,10090,n-butoxyethanol results in increased expression of C1QB mRNA,increases^expression,19812364
c1qb,Nickel,D009532,7440-02-0,C1QB,713,Homo sapiens,9606,C1QB protein binds to Nickel,affects^binding,23896426
c1qb,Nickel,D009532,7440-02-0,C1QB,713,Homo sapiens,9606,Nickel results in increased expression of C1QB mRNA,increases^expression,24768652|25583101
c1qb,nickel sulfate,C029938,7786-81-4,C1QB,713,Homo sapiens,9606,nickel sulfate results in decreased expression of C1QB mRNA,decreases^expression,16780908
c1qb,nimesulide,C012655,51803-78-2,C1QB,713,Homo sapiens,9606,nimesulide inhibits the reaction [PTGS2 results in increased expression of C1QB mRNA],decreases^reaction|increases^expression,11810182
c1qb,nimesulide,C012655,51803-78-2,C1QB,713,Rattus norvegicus,10116,nimesulide results in decreased expression of C1QB mRNA,decreases^expression,24136188
c1qb,nitrofen,C007350,,C1QB,713,Rattus norvegicus,10116,nitrofen results in increased expression of C1QB mRNA,increases^expression,33484710
c1qb,"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride",C434926,,C1QB,713,Mus musculus,10090,"[N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride co-treated with [Oxygen deficiency co-treated with Blood Glucose deficiency]] results in increased expression of C1QB mRNA",affects^cotreatment|increases^expression,19640911
c1qb,ochratoxin A,C025589,303-47-9,C1QB,713,Rattus norvegicus,10116,ochratoxin A results in increased expression of C1QB mRNA,increases^expression,16251485
c1qb,Oxaliplatin,D000077150,,C1QB,713,Rattus norvegicus,10116,[Oxaliplatin co-treated with Topotecan] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,25729387
c1qb,Oxaliplatin,D000077150,,C1QB,713,Rattus norvegicus,10116,Oxaliplatin results in increased expression of C1QB mRNA,increases^expression,25729387
c1qb,Oxygen,D010100,7782-44-7,C1QB,713,Mus musculus,10090,"[N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride co-treated with [Oxygen deficiency co-treated with Blood Glucose deficiency]] results in increased expression of C1QB mRNA",affects^cotreatment|increases^expression,19640911
c1qb,Oxygen,D010100,7782-44-7,C1QB,713,Rattus norvegicus,10116,Oxygen results in increased expression of C1QB mRNA,increases^expression,22911455
c1qb,Paclitaxel,D017239,,C1QB,713,Rattus norvegicus,10116,Paclitaxel results in increased expression of C1QB mRNA,increases^expression,18754875
c1qb,Palm Oil,D000073878,,C1QB,713,Mus musculus,10090,Palm Oil results in decreased expression of C1QB mRNA,decreases^expression,18042831
c1qb,Particulate Matter,D052638,,C1QB,713,Homo sapiens,9606,Particulate Matter results in increased expression of C1QB mRNA,increases^expression,24769257
c1qb,Particulate Matter,D052638,,C1QB,713,Mus musculus,10090,Particulate Matter affects the expression of C1QB mRNA,affects^expression,32873817
c1qb,Particulate Matter,D052638,,C1QB,713,Mus musculus,10090,"[Particulate Matter co-treated with Antigens, Dermatophagoides] results in increased expression of C1QB mRNA",affects^cotreatment|increases^expression,34051097
c1qb,perfluorooctane sulfonic acid,C076994,1763-23-1,C1QB,713,Mus musculus,10090,[perfluorooctane sulfonic acid co-treated with Cellulose] results in increased expression of C1QB mRNA,affects^cotreatment|increases^expression,36331819
c1qb,peroben,C008814,78371-63-8,C1QB,713,Homo sapiens,9606,peroben results in increased activity of [C1QA protein binds to C1QB protein binds to C1QC protein],affects^binding|increases^activity,157301
c1qb,Phenobarbital,D010634,50-06-6,C1QB,713,Mus musculus,10090,NR1I3 protein affects the reaction [Phenobarbital results in decreased expression of C1QB mRNA],affects^reaction|decreases^expression,19482888
c1qb,Phenobarbital,D010634,50-06-6,C1QB,713,Mus musculus,10090,Phenobarbital results in decreased expression of C1QB mRNA,decreases^expression,19482888
c1qb,Phenobarbital,D010634,50-06-6,C1QB,713,Rattus norvegicus,10116,Phenobarbital results in increased expression of C1QB mRNA,increases^expression,19162173
c1qb,pirinixic acid,C006253,50892-23-4,C1QB,713,Mus musculus,10090,pirinixic acid results in decreased expression of C1QB mRNA,decreases^expression,17426115|23811191
c1qb,polyhexamethyleneguanidine,C060540,31961-54-3,C1QB,713,Rattus norvegicus,10116,polyhexamethyleneguanidine results in increased expression of C1QB mRNA,increases^expression,27989595|32080758
c1qb,polyhexamethyleneguanidine,C060540,31961-54-3,C1QB,713,Rattus norvegicus,10116,polyhexamethyleneguanidine results in increased expression of C1QB protein,increases^expression,32080758
c1qb,Pravastatin,D017035,81093-37-0,C1QB,713,Mus musculus,10090,Pravastatin results in decreased expression of C1QB mRNA,decreases^expression,27225895
c1qb,Pravastatin,D017035,81093-37-0,C1QB,713,Rattus norvegicus,10116,Pravastatin results in decreased expression of C1QB mRNA,decreases^expression,27225895
c1qb,Pregnenolone Carbonitrile,D011285,1434-54-4,C1QB,713,Rattus norvegicus,10116,Pregnenolone Carbonitrile results in decreased expression of C1QB mRNA,decreases^expression,19162173
c1qb,propionaldehyde,C005556,123-38-6,C1QB,713,Homo sapiens,9606,propionaldehyde results in decreased expression of C1QB mRNA,decreases^expression,26079696
